id,age,marks,weight,height,grade,department,gender
1,20,78,68,1.72,B,CS,Male
2,22,85,74,1.80,A,IT,Female
3,19,67,59,1.65,C,Mechanical,Male
4,21,91,82,1.75,A,Electrical,Female
5,23,73,77,1.69,B,Civil,Male
6,20,88,66,1.70,A,CS,Female
7,22,54,72,1.78,D,IT,Male
8,24,62,85,1.82,C,Mechanical,Female
9,21,95,69,1.73,A,Electrical,Male
10,20,48,58,1.60,F,Civil,Female
11,23,76,80,1.85,B,CS,Male
12,19,84,61,1.68,A,IT,Female
13,22,69,75,1.74,C,Mechanical,Male
14,21,90,70,1.71,A,Electrical,Female
15,20,58,65,1.66,D,Civil,Male
16,24,72,88,1.83,B,CS,Female
17,23,81,79,1.77,A,IT,Male
18,19,63,55,1.62,C,Mechanical,Female
19,22,87,73,1.76,A,Electrical,Male
20,21,52,60,1.64,F,Civil,Female
21,20,74,67,1.70,B,CS,Male
22,23,89,82,1.84,A,IT,Female
23,19,61,57,1.63,C,Mechanical,Male
24,22,92,78,1.79,A,Electrical,Female
25,21,66,71,1.75,C,Civil,Male
26,20,83,64,1.69,A,CS,Female
27,24,55,90,1.86,D,IT,Male
28,23,71,76,1.72,B,Mechanical,Female
29,19,94,62,1.67,A,Electrical,Male
30,22,49,59,1.61,F,Civil,Female
31,21,77,72,1.74,B,CS,Male
32,20,86,68,1.71,A,IT,Female
33,23,64,84,1.82,C,Mechanical,Male
34,22,90,75,1.78,A,Electrical,Female
35,19,57,53,1.59,D,Civil,Male
36,24,79,87,1.85,B,CS,Female
37,21,88,73,1.76,A,IT,Male
38,20,62,66,1.68,C,Mechanical,Female
39,23,93,81,1.83,A,Electrical,Male
40,22,51,63,1.65,F,Civil,Female
41,20,75,69,1.72,B,CS,Male
42,24,84,92,1.88,A,IT,Female
43,21,68,70,1.73,C,Mechanical,Male
44,22,91,77,1.80,A,Electrical,Female
45,19,59,54,1.60,D,Civil,Male
46,23,82,83,1.84,A,CS,Female
47,20,73,65,1.69,B,IT,Male
48,21,60,71,1.75,C,Mechanical,Female
49,24,96,89,1.87,A,Electrical,Male
50,22,47,62,1.64,F,Civil,Female
51,20,78,68,1.72,B,CS,Female
52,23,85,74,1.80,A,IT,Male
53,19,67,59,1.65,C,Mechanical,Female
54,21,91,82,1.75,A,Electrical,Male
55,22,73,77,1.69,B,Civil,Female
56,20,88,66,1.70,A,CS,Male
57,23,54,72,1.78,D,IT,Female
58,24,62,85,1.82,C,Mechanical,Male
59,21,95,69,1.73,A,Electrical,Female
60,20,48,58,1.60,F,Civil,Male
61,22,76,80,1.85,B,CS,Female
62,19,84,61,1.68,A,IT,Male
63,23,69,75,1.74,C,Mechanical,Female
64,21,90,70,1.71,A,Electrical,Male
65,20,58,65,1.66,D,Civil,Female
66,24,72,88,1.83,B,CS,Male
67,23,81,79,1.77,A,IT,Female
68,19,63,55,1.62,C,Mechanical,Male
69,22,87,73,1.76,A,Electrical,Female
70,21,52,60,1.64,F,Civil,Male
71,20,74,67,1.70,B,CS,Female
72,23,89,82,1.84,A,IT,Male
73,19,61,57,1.63,C,Mechanical,Female
74,22,92,78,1.79,A,Electrical,Male
75,21,66,71,1.75,C,Civil,Female
76,20,83,64,1.69,A,CS,Male
77,24,55,90,1.86,D,IT,Female
78,23,71,76,1.72,B,Mechanical,Male
79,19,94,62,1.67,A,Electrical,Female
80,22,49,59,1.61,F,Civil,Male
81,21,77,72,1.74,B,CS,Female
82,20,86,68,1.71,A,IT,Male
83,23,64,84,1.82,C,Mechanical,Female
84,22,90,75,1.78,A,Electrical,Male
85,19,57,53,1.59,D,Civil,Female
86,24,79,87,1.85,B,CS,Male
87,21,88,73,1.76,A,IT,Female
88,20,62,66,1.68,C,Mechanical,Male
89,23,93,81,1.83,A,Electrical,Female
90,22,51,63,1.65,F,Civil,Male
91,20,75,69,1.72,B,CS,Male
92,24,84,92,1.88,A,IT,Female
93,21,68,70,1.73,C,Mechanical,Male
94,22,91,77,1.80,A,Electrical,Female
95,19,59,54,1.60,D,Civil,Male
96,23,82,83,1.84,A,CS,Female
97,20,73,65,1.69,B,IT,Male
98,21,60,71,1.75,C,Mechanical,Female
99,24,96,89,1.87,A,Electrical,Male
100,22,47,62,1.64,F,Civil,Female

